RIST 3.99.10
RUSLE Storm Output Table for Period of Data Processed.

Date        PRECIP  DURATION     MAX_5    MAX_10    MAX_15    MAX_30    MAX_60          ENERGY                    EI30
MO/DA/YR        mm       hrs     mm/hr     mm/hr     mm/hr     mm/hr     mm/hr           MJ/ha             MJ*mm/ha*hr
----------------------------------------------------------------------------------------------------------------------
08/13/1998   15.30      2.25    33.888    26.652    19.421    13.851    10.249           3.502                  48.505
08/16/1998   13.17      1.08    46.941    39.645    28.390    23.560    13.028           3.131                  73.767
08/24/1998   19.33     10.50    29.904    29.236    27.906    20.016    12.440           4.056                  81.179
09/04/1998   77.57     24.83    25.112    21.660    18.536    13.708    11.984          15.301                 209.744
09/11/1998  108.27     36.42    16.944    15.936    16.067    14.068    11.954          19.934                 280.435
09/13/1998   14.73     17.08     9.648     8.424     7.360     5.632     3.616           2.383                  13.419
10/05/1998  176.44     89.50    14.400    14.400    13.680    11.640     9.436          31.772                 369.830
10/19/1998   16.90     12.33     7.248     6.192     6.384     5.664     5.204           2.830                  16.032
01/10/1999   40.58     21.00    12.048    10.872     9.648     8.816     7.656           7.034                  62.012
03/03/1999   37.76     55.25     7.200     7.200     6.416     6.400     5.380           6.140                  39.293
03/06/1999   14.66     24.83     4.800     4.800     4.000     3.200     3.184           2.326                   7.443
03/26/1999   20.37     30.67     4.752     3.576     3.184     2.392     2.016           3.146                   7.524
04/07/1999   17.80     15.58     9.648     8.592     8.816     7.280     6.024           3.019                  21.980
04/12/1999   20.46     21.83     4.800     4.800     4.144     3.240     2.420           3.156                  10.226
04/15/1999   30.31     37.42     7.008     5.904     5.536     4.376     2.988           4.787                  20.949
05/04/1999   42.25     23.00    14.369     9.764     8.800     8.016     6.580           7.427                  59.535
05/14/1999   13.15     11.75    17.012    15.732    13.624     9.724     7.062           2.464                  23.965
05/19/1999   55.80     62.08     9.636     6.018     4.812     4.448     4.404           9.027                  40.154
06/04/1999   13.00      5.83    12.150     8.535     6.384     5.960     5.390           2.276                  13.566
06/07/1999   24.05     23.67    21.509    16.298    13.996     9.181     6.416           4.652                  42.706
06/13/1999   14.35     13.17     7.200     7.200     6.400     5.208     4.992           2.424                  12.625
06/15/1999   16.96     16.50    59.345    42.074    33.640    20.470    10.835           3.637                  74.452
06/21/1999   17.19      6.25    19.248    18.204    16.867    10.868     8.387           3.123                  33.943
07/04/1999    9.57      0.33    50.400    50.400    37.680    19.140     9.570           2.543                  48.666
07/06/1999   15.96      4.42    24.190    19.415    15.343    11.716     9.602           3.233                  37.872
07/09/1999   22.61     25.08     7.320     6.024     5.016     4.832     3.432           3.667                  17.720
07/11/1999   20.61     32.75    12.208    10.848     8.848     5.984     4.804           3.416                  20.440
07/22/1999   33.19      7.00    14.436    10.824    10.364     9.582     8.391           6.356                  60.905
07/27/1999   16.88      7.50    25.920    14.160    11.932    11.150     7.143           3.338                  37.217
07/28/1999   16.12      6.17    21.758    19.296    16.110    10.423     9.123           3.125                  32.571
08/05/1999   15.81      8.67    16.958    14.580    14.373    10.814     8.404           3.000                  32.445
08/06/1999   15.01      1.50    54.224    45.707    40.784    24.424    12.212           3.731                  91.127
08/07/1999   21.38      2.75    63.434    56.580    46.887    34.188    21.181           5.272                 180.238
08/10/1999   13.98      5.83    29.732    27.151    26.532    16.689     8.508           3.047                  50.852
08/12/1999   16.88     11.00     7.376     6.072     5.648     5.224     4.772           2.805                  14.656
08/16/1999   34.55      4.08    26.640    21.864    18.808    16.928    15.510           7.291                 123.425
08/20/1999   39.56     13.25    30.912    25.220    25.692    18.166    11.378           7.974                 144.856
08/28/1999   24.08     11.50    33.960    25.980    21.320    16.184    13.096           4.987                  80.710
09/20/1999   96.58     27.58    21.758    19.954    20.045    17.222    14.619          18.567                 319.762
09/26/1999   13.76      7.83     7.152     6.192     5.808     5.216     3.428           2.270                  11.839
09/30/1999   32.75     10.75    14.400    14.400    13.808    12.400    10.808           6.051                  75.039
10/03/1999   42.75     27.83    17.040    12.306    10.528     8.472     7.468           7.329                  62.095
10/23/1999   16.53     18.25     4.848     4.800     4.096     3.664     3.228           2.653                   9.719
10/24/1999   49.39     33.42     9.648     9.600     8.272     7.592     6.400           8.531                  64.765
12/09/1999   18.29     26.17     2.400     2.400     2.400     1.640     1.616           2.831                   4.642
03/26/2000   19.92     52.58     4.848     3.624     3.216     2.408     1.984           3.095                   7.454
03/28/2000   53.20     23.25    16.944    13.272     9.648     8.064     5.620           8.999                  72.571
04/05/2000   21.07     13.25     7.104     5.100     4.816     4.416     3.820           3.430                  15.148
04/12/2000   13.02     26.08     2.400     2.400     2.400     2.000     1.792           2.009                   4.018
04/18/2000   43.49     17.33    14.400    14.400    14.400    12.864    11.232           8.013                 103.077
05/18/2000   18.15     15.08     7.200     7.200     7.200     6.800     5.800           3.088                  20.999
06/23/2000   29.06      3.50    17.726    15.721    14.223    12.832    11.416           5.958                  76.459
